ISBN,Book-Title,Book-Author
0195153448,Classical Mythology,Mark P. O. Morford
0002005018,Clara Callan,Richard Bruce Wright
0060973129,Decision in Normandy,Carlo D'Este
0374157065,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata
0393045218,The Mummies of Urumchi,E. J. W. Barber
0399135782,The Kitchen God's Wife,Amy Tan
0425176428,What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley
0671870432,PLEADING GUILTY,Scott Turow
0679425608,Under the Black Flag: The Romance and the Reality of Life Among the Pirates,David Cordingly
074322678X,Where You'll Find Me: And Other Stories,Ann Beattie
0771074670,Nights Below Station Street,David Adams Richards
080652121X,Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust,Adam Lebor
0887841740,The Middle Stories,Sheila Heti
1552041778,Jane Doe,R. J. Kaiser
1558746218,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield
1567407781,The Witchfinder (Amos Walker Mystery Series),Loren D. Estleman
1575663937,More Cunning Than Man: A Social History of Rats and Man,Robert Hendrickson
1881320189,Goodbye to the Buttermilk Sky,Julia Oliver
0440234743,The Testament,John Grisham
0452264464,Beloved (Plume Contemporary Fiction),Toni Morrison
0609804618,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,The Onion
1841721522,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,Celia Brooks Brown
1879384493,If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself,J. R. Parrish
0061076031,Mary-Kate &amp; Ashley Switching Goals (Mary-Kate and Ashley Starring in),Mary-Kate &amp; Ashley Olsen
0439095026,Tell Me This Isn't Happening,Robynn Clairday
0689821166,Flood : Mississippi 1927,Kathleen Duey
0971880107,Wild Animus,Rich Shapero
0345402871,Airframe,Michael Crichton
0345417623,Timeline,MICHAEL CRICHTON
0684823802,OUT OF THE SILENT PLANET,C.S. Lewis
0375759778,Prague : A Novel,ARTHUR PHILLIPS
