User-ID,ISBN,Book-Rating
276726,0155061224,5
276729,052165615X,3
276729,0521795028,6
276736,3257224281,8
276737,0600570967,6
276744,038550120X,7
276745,342310538,10
276747,0060517794,9
276747,0671537458,9
276747,0679776818,8
276747,0943066433,7
276747,1885408226,7
276748,0747558167,6
276751,3596218098,8
276754,0684867621,8
276755,0451166892,5
276760,8440682697,10
276762,0380711524,5
276762,3453092007,8
276762,3453213025,3
276762,N3453124715,4
276768,9057868059,4
276772,0553572369,7
276772,3499230933,10
276772,3596151465,10
276774,3442136644,9
276780,8484330478,7
276780,8484332039,7
276786,2864322102,6
276786,8437606322,8
276786,8466300821,6
276786,8478442588,6
276788,0345443683,8
276788,043935806X,7
276788,055310666X,10
276796,0330332775,5
276798,0006379702,5
276798,3442131340,7
276798,3548603203,6
276800,1562827898,7
276804,0440498058,8
276808,0395547032,10
276811,0440414121,10
276812,8879839993,8
276813,8423996565,8
276813,8426449476,8
276813,8426449573,6
276813,8478884831,8
276813,8478885218,6
276813,8478885463,6
